GeneSet,Gene
gobp_blood_vessel_morphogenesis,11005
gobp_blood_vessel_morphogenesis,11061
gobp_blood_vessel_morphogenesis,11082
gobp_blood_vessel_morphogenesis,11117
gobp_blood_vessel_morphogenesis,11126
gobp_blood_vessel_morphogenesis,11146
gobp_blood_vessel_morphogenesis,1116
gobp_blood_vessel_morphogenesis,11235
gobp_blood_vessel_morphogenesis,112744
gobp_blood_vessel_morphogenesis,113026
gobp_blood_vessel_morphogenesis,1139
gobp_blood_vessel_morphogenesis,116150
gobp_blood_vessel_morphogenesis,116844
gobp_blood_vessel_morphogenesis,1215
gobp_blood_vessel_morphogenesis,1232
gobp_blood_vessel_morphogenesis,126259
gobp_blood_vessel_morphogenesis,126393
gobp_blood_vessel_morphogenesis,127385
gobp_blood_vessel_morphogenesis,1281
gobp_blood_vessel_morphogenesis,1282
gobp_blood_vessel_morphogenesis,128240
gobp_blood_vessel_morphogenesis,1284
gobp_blood_vessel_morphogenesis,1285
gobp_blood_vessel_morphogenesis,1295
gobp_blood_vessel_morphogenesis,1296
gobp_blood_vessel_morphogenesis,1306
gobp_blood_vessel_morphogenesis,1311
gobp_blood_vessel_morphogenesis,1317
gobp_blood_vessel_morphogenesis,133
gobp_blood_vessel_morphogenesis,1386
gobp_blood_vessel_morphogenesis,14
gobp_blood_vessel_morphogenesis,140862
gobp_blood_vessel_morphogenesis,1432
gobp_blood_vessel_morphogenesis,144455
gobp_blood_vessel_morphogenesis,1464
gobp_blood_vessel_morphogenesis,146850
gobp_blood_vessel_morphogenesis,147372
gobp_blood_vessel_morphogenesis,1482
gobp_blood_vessel_morphogenesis,1490
gobp_blood_vessel_morphogenesis,1499
gobp_blood_vessel_morphogenesis,151
gobp_blood_vessel_morphogenesis,1512
gobp_blood_vessel_morphogenesis,1524
gobp_blood_vessel_morphogenesis,153090
gobp_blood_vessel_morphogenesis,1536
gobp_blood_vessel_morphogenesis,1545
gobp_blood_vessel_morphogenesis,154796
gobp_blood_vessel_morphogenesis,154810
gobp_blood_vessel_morphogenesis,1605
gobp_blood_vessel_morphogenesis,161198
gobp_blood_vessel_morphogenesis,161742
gobp_blood_vessel_morphogenesis,1634
gobp_blood_vessel_morphogenesis,1636
gobp_blood_vessel_morphogenesis,1647
gobp_blood_vessel_morphogenesis,168667
gobp_blood_vessel_morphogenesis,182
